model_name,model_type,vocab_size,tokenizer_class
llm-jp/hf-fast-tokenizer-v22b2,NaN,NaN,NaN
lighttransport/japanese-tokenizer-cc100,NaN,NaN,NaN
geniacllm/ja-tokenizer-unigram-v1,NaN,NaN,NaN
stabilityai/japanese-stablelm-base-alpha-7b,NaN,65536,NaN
cyberagent/calm2-7b,llama,65024,NaN
pfnet/plamo-13b,plamo,50432,PlamoTokenizer
Rakuten/RakutenAI-7B-chat,mistral,48000,NaN
karakuri-ai/karakuri-lm-70b-chat-v0.1,llama,45416,NaN
tokyotech-llm/Swallow-13b-hf,llama,43176,NaN
tokyotech-llm/Swallow-7b-instruct-hf,llama,43176,NaN
nitky/Superswallow-70b-v0.1,llama,43176,NaN
elyza/ELYZA-japanese-Llama-2-7b,llama,32000,NaN
SakanaAI/EvoLLM-JP-A-v1-7B,mistral,32000,NaN
moneyforward/houou-instruction-7b-v2,llama,32000,NaN
rinna/youri-7b,llama,32000,NaN
lightblue/qarasu-14B-chat-plus-unleashed,qwen,152064,QWenTokenizer
rinna/nekomata-14b,qwen,152064,QWenTokenizer
lightblue/karasu-7B-chat-plus-unleashed,mistral,120128,NaN
