model_name,architectures,model_type,vocab_size,tokenizer_class,URL
geniacllm/ja-tokenizer-unigram-v1,NaN,NaN,,NaN,https://huggingface.co/geniacllm/ja-tokenizer-unigram-v1/blob/main/README.md
lighttransport/japanese-tokenizer-cc100,NaN,NaN,,NaN,https://huggingface.co/lighttransport/japanese-tokenizer-cc100/blob/main/README.md
llm-jp/hf-fast-tokenizer-v22b2,NaN,NaN,,NaN,https://huggingface.co/llm-jp/hf-fast-tokenizer-v22b2/blob/main/README.md
lightblue/qarasu-14B-chat-plus-unleashed,QWenLMHeadModel,qwen,152064,QWenTokenizer,https://huggingface.co/lightblue/qarasu-14B-chat-plus-unleashed/raw/main/config.json
rinna/nekomata-14b,QWenLMHeadModel,qwen,152064,QWenTokenizer,https://huggingface.co/rinna/nekomata-14b/raw/main/config.json
lightblue/karasu-7B-chat-plus-unleashed,MistralForCausalLM,mistral,120128,NaN,https://huggingface.co/lightblue/karasu-7B-chat-plus-unleashed/raw/main/config.json
stabilityai/japanese-stablelm-base-alpha-7b,JapaneseStableLMAlphaForCausalLM,NaN,65536,NaN,https://huggingface.co/stabilityai/japanese-stablelm-base-alpha-7b/raw/main/config.json
cyberagent/calm2-7b,LlamaForCausalLM,llama,65024,NaN,https://huggingface.co/cyberagent/calm2-7b/raw/main/config.json
pfnet/plamo-13b,PlamoForCausalLM,plamo,50432,PlamoTokenizer,https://huggingface.co/pfnet/plamo-13b/raw/main/config.json
Rakuten/RakutenAI-7B-chat,MistralForCausalLM,mistral,48000,NaN,https://huggingface.co/Rakuten/RakutenAI-7B-chat/raw/main/config.json
karakuri-ai/karakuri-lm-70b-chat-v0.1,LlamaForCausalLM,llama,45416,NaN,https://huggingface.co/karakuri-ai/karakuri-lm-70b-chat-v0.1/raw/main/config.json
tokyotech-llm/Swallow-13b-hf,LlamaForCausalLM,llama,43176,NaN,https://huggingface.co/tokyotech-llm/Swallow-13b-hf/raw/main/config.json
tokyotech-llm/Swallow-7b-instruct-hf,LlamaForCausalLM,llama,43176,NaN,https://huggingface.co/tokyotech-llm/Swallow-7b-instruct-hf/raw/main/config.json
nitky/Superswallow-70b-v0.1,LlamaForCausalLM,llama,43176,NaN,https://huggingface.co/nitky/Superswallow-70b-v0.1/raw/main/config.json
elyza/ELYZA-japanese-Llama-2-7b,LlamaForCausalLM,llama,32000,NaN,https://huggingface.co/elyza/ELYZA-japanese-Llama-2-7b/raw/main/config.json
SakanaAI/EvoLLM-JP-A-v1-7B,MistralForCausalLM,mistral,32000,NaN,https://huggingface.co/SakanaAI/EvoLLM-JP-A-v1-7B/raw/main/config.json
moneyforward/houou-instruction-7b-v2,LlamaForCausalLM,llama,32000,NaN,https://huggingface.co/moneyforward/houou-instruction-7b-v2/raw/main/config.json
rinna/youri-7b,LlamaForCausalLM,llama,32000,NaN,https://huggingface.co/rinna/youri-7b/raw/main/config.json
